SortOrder,LocID,Notes,ISO3_code,ISO2_code,SDMX_code,LocTypeID,LocTypeName,ParentID,Location,VarID,Variant,Time,MidPeriod,PopMale,PopFemale,PopTotal,PopDensity
,1111,,,,,,,,United States of America (and dependencies),2,Medium,1950,1950.5,74706.177,75919.272,150625.448,16.448
,1111,,,,,,,,United States of America (and dependencies),2,Medium,1951,1951.5,75984.185,76980.834,152965.019,16.703
,1111,,,,,,,,United States of America (and dependencies),2,Medium,1952,1952.5,77287.381,78041.288,155328.669,16.961
,1111,,,,,,,,United States of America (and dependencies),2,Medium,1953,1953.5,78436.289,79419.058,157855.347,17.237
,1111,,,,,,,,United States of America (and dependencies),2,Medium,1954,1954.5,79798.105,80826.775,160624.88,17.54
,1111,,,,,,,,United States of America (and dependencies),2,Medium,1955,1955.5,81279.692,82289.281,163568.973,17.861
,1111,,,,,,,,United States of America (and dependencies),2,Medium,1956,1956.5,82722.253,83786.346,166508.598,18.182
,1111,,,,,,,,United States of America (and dependencies),2,Medium,1957,1957.5,84111.25,85294.076,169405.326,18.498
,1111,,,,,,,,United States of America (and dependencies),2,Medium,1958,1958.5,85670.714,86941.865,172612.579,18.849
,1111,,,,,,,,United States of America (and dependencies),2,Medium,1959,1959.5,87211.125,88588.064,175799.19,19.197
,1111,,,,,,,,United States of America (and dependencies),2,Medium,1960,1960.5,88567.305,90120.367,178687.672,19.512
,1111,,,,,,,,United States of America (and dependencies),2,Medium,1961,1961.5,89930.367,91699.595,181629.963,19.833
,1111,,,,,,,,United States of America (and dependencies),2,Medium,1962,1962.5,91247.44,93260.148,184507.587,20.148
,1111,,,,,,,,United States of America (and dependencies),2,Medium,1963,1963.5,92517.923,94767.58,187285.503,20.451
,1111,,,,,,,,United States of America (and dependencies),2,Medium,1964,1964.5,93736.226,96221.575,189957.801,20.743
,1111,,,,,,,,United States of America (and dependencies),2,Medium,1965,1965.5,94804.978,97622.733,192427.711,21.012
,1111,,,,,,,,United States of America (and dependencies),2,Medium,1966,1966.5,95647.319,98951.13,194598.45,21.249
,1111,,,,,,,,United States of America (and dependencies),2,Medium,1967,1967.5,96379.662,100211.722,196591.383,21.467
,1111,,,,,,,,United States of America (and dependencies),2,Medium,1968,1968.5,97182.076,101409.583,198591.659,21.685
,1111,,,,,,,,United States of America (and dependencies),2,Medium,1969,1969.5,98159.542,102584.481,200744.024,21.92
,1111,,,,,,,,United States of America (and dependencies),2,Medium,1970,1970.5,99399.833,103855.09,203254.922,22.195
,1111,,,,,,,,United States of America (and dependencies),2,Medium,1971,1971.5,100733.457,105152.969,205886.426,22.482
,1111,,,,,,,,United States of America (and dependencies),2,Medium,1972,1972.5,101922.302,106349.775,208272.076,22.743
,1111,,,,,,,,United States of America (and dependencies),2,Medium,1973,1973.5,102947.545,107456.156,210403.701,22.975
,1111,,,,,,,,United States of America (and dependencies),2,Medium,1974,1974.5,103892.578,108528.984,212421.562,23.196
,1111,,,,,,,,United States of America (and dependencies),2,Medium,1975,1975.5,104845.394,109627.095,214472.489,23.42
,1111,,,,,,,,United States of America (and dependencies),2,Medium,1976,1976.5,105795.259,110727.314,216522.573,23.643
,1111,,,,,,,,United States of America (and dependencies),2,Medium,1977,1977.5,106825.008,111919.645,218744.654,23.886
,1111,,,,,,,,United States of America (and dependencies),2,Medium,1978,1978.5,107983.855,113259.229,221243.084,24.159
,1111,,,,,,,,United States of America (and dependencies),2,Medium,1979,1979.5,109224.064,114655.824,223879.888,24.447
,1111,,,,,,,,United States of America (and dependencies),2,Medium,1980,1980.5,110532.14,116079.87,226612.011,24.745
,1111,,,,,,,,United States of America (and dependencies),2,Medium,1981,1981.5,111782.035,117396.751,229178.786,25.025
,1111,,,,,,,,United States of America (and dependencies),2,Medium,1982,1982.5,112967.72,118608.37,231576.09,25.287
,1111,,,,,,,,United States of America (and dependencies),2,Medium,1983,1983.5,114187.769,119823.515,234011.283,25.553
,1111,,,,,,,,United States of America (and dependencies),2,Medium,1984,1984.5,115412.085,121018.874,236430.959,25.817
,1111,,,,,,,,United States of America (and dependencies),2,Medium,1985,1985.5,116642.614,122208.14,238850.754,26.082
,1111,,,,,,,,United States of America (and dependencies),2,Medium,1986,1986.5,117870.629,123383.192,241253.821,26.344
,1111,,,,,,,,United States of America (and dependencies),2,Medium,1987,1987.5,119079.929,124548.776,243628.705,26.603
